address,images,text,type,date,compensation,link
"
        ,
The CAD Administrative Assistant is responsible for working with the Project Management team, Inspection Team, and Partners on a daily basis by preparing filing forms, corresponding with clients, and general drafting of both technical and permit drawings sets. Along with assistance to the PM and Inspection teams, it is essential to the organization that the CAD Administrative Assistant maintains company standards through references, files, transmittals, and documents.,
,
Tasks include, but are not limited to:,
,
-Prepare filing forms, post approval amendments, etc., as needed.,
-Send forms to architects, engineers, owners, etc.,
-Work directly with Management Team to execute administrative duties (reporting, excel sheets, meeting agendas, reference libraries, detail libraries etc.),
-Coordinate requested documentation and maintain reports,
-Management of office systems and guidelines to maintain status of applications for clients and office staff,
-Develop substantial knowledge of construction means and methods and building codes,
-Develop drawings and templates using AutoCAD Architecture,
-Organize the drawing set and make DOB packages for the permit,
-Produce drawings without requiring constant supervision,
-Organizes and leads site visits and surveys.,
-Produce drawings without requiring constant supervision,
-Work from rough sketches and specifications created by Partners or Inspectors,
-Surveying on construction sites,
,
Candidate must also have:,
,
-Excellent verbal and written communication skills.,
-Excellent computer skills necessary for office administrative work (Microsoft Office, Adobe, etc.),
-Demonstrated experience with AutoCAD, Revit, and Microsoft Office Suite,
-Good Math skills essential for site surveying purposes,
-Familiarity with surveying tools.,
,
Preferred:,
,
- Degree in either Architecture, Engineering or Construction Management,
- Interested in networking and developing in New York's architecture scene,
,
We're seeking someone with the desire and drive to become a long-term, indispensable member of our team. Compensation range is $40-45k, based on experience and education.,
,
Hours are 8:00 AM to 5:00 PM, Monday through Friday. Our firm offers full medical and dental benefits, long-term disability, and paid vacation.,
,
Please submit your resume, cover letter, and salary requirements.    ",,CAD Administrative Assistant,full-time,2018-12-17 10:15,full-time,https://newyork.craigslist.org/mnh/egr/d/cad-administrative-assistant/6774601939.html
"
        ,
Job Description:,
,
We are looking for a Project Manager/Estimator available to directly work for Construction General Contractor's Office in Corona NY.   We specialize in Commercial and Residential Renovations. ,
,
The Position: Daily Job Duties include: ,
,
Construction Contract Administration & negotiations with valued subcontractors for buyout.  ,
Preparing and ensuring Construction Schedule is met from Permit through signed Punch list.,
Close and Warranty work when applicable.  ,
Direct support and involvement in the Estimating / Quantity Take-off and the Request For Proposal Process including obtaining and Qualifying rec'd proposals is also part of the job.,
,
This Project Manager position will require Daily Job Awareness, juggling multiple priorities, organized interaction with the Field representatives and Professional updates with our  Special and often Demanding Customers in a very fast paced environment. ,
,
,
Personal Characteristics:,
Develops, maintains and fosters a positive ""can-do"" attitude concerning the job and our company with both customers and fellow employees,
Initiates and promotes teamwork concepts.,
Develops, improves and maintains communication skills with others.,
Develops and understands systems of priorities and time management. ,
Utilizes time appropriately.,
Develops and initiates improvements to company business methods and practices.,
Ability to stay calm during busy hard working stressful periods,
For consideration, please send resume of Project Management Experience specifically regarding detailed Commercial Construction, Scheduling and Estimating abilities to us for review and consideration.,
,
,
*We are an Equal Opportunity Employer,
,
Job Requirements,
Skills & Abilities:,
Knowledge of Project Management, estimating and Construction Management software (Timberline, On-Screen Take-Off),
Detailed Take-off organization, accuracy and consistency,
Knowledge of Labor output and Labor rates and how they vary by job and location.,
Knowledge of material costs and variations caused by time constraints,
Understand specific and industry-related construction specifications,
Ability to cost and price non-standard construction details,
Develop and understand job specific comprehensive Scopes of Work to Schedule accordingly,
Ability to foster and promote customer relationships.,
Strong Letter Writing skill set,
Innovative Problem Solving,
Excellent Follow Up Skills,
 ,
Qualifications:,
Bachelor's Degree (or equivalent) for Construction Science or related field of study,
Working knowledge of Microsoft Office products; specifically Outlook, Word and Excel,
Proficiency with reading construction plans, specifications and vendor product data information,
Familiarity with construction project delivery methods and practices,
    ",,Estimator / Assistant Project Manager,full-time,2018-12-14 13:21,full-time,https://newyork.craigslist.org/que/egr/d/estimator-assistant-project/6772648819.html
"
        ,
Premier design and fabrication studio powered by creativity, technology and big ideas seeking full time autocad drafter.,
,
Requirements:,
,
Preparing drawings based on specifications and project estimate; recommending appropriate materials to be used; archiving completed projects,
Identify technical problems, provide practical solutions and cost reduction ideas appropriate to the size and complexity of projects.,
Knowledgeable in material composition and construction methods that are applicable to the fabrication industry including exhibit fabrication, trade show fabrication, architectural millwork, high-end cabinetry or interior build out.,
Fluency in VectorWorks and/or AutoCAD.,
Ability to value engineer, perform self-directed product research and propose different methods of construction methods while meeting design intent and budget/time restrictions.,
* 3D Studio and Adobe Suite are a plus.,
,
Autocad Drafter Required Professional Skills:,
,
A two-year degree in engineering or a related field with a minimum of two years of technical drawing experience, preferably in a manufacturing environment.,
Ability to organize multiple projects simultaneously,
Critical thinking and problem-solving ability,
Prioritizes and organizes own work to meet agreed upon deadlines,
Must be able to communicate effectively both orally and in writing with team members and outside professionals while proactively communicating with the Project Manager to obtain needed information to continue progress on plans.,
Possess good judgment and attention to detail,
Flexible to work overtime and weekends as required.,
Able to work in a fast-paced, ever-changing team-oriented environment.,
Able to work in a seated office environment with extensive time on the computer and on the production floor as required with exposure to mild discomfort from factors such as dust, fumes, odors, loud noise, and varying temperatures.,
,
Autocad Drafter Perks & Rewards for Full-Time Employees:,
,
Benefits after 30 days,
Five Paid Sick Days Per Year (after 60 days),
401k after 1000 hours worked & 1 year on payroll,
Commuter Benefits    ",,AUTOCAD DRAFTER,full-time,2018-12-13 10:33,full-time,https://newyork.craigslist.org/brk/egr/d/autocad-drafter/6771676156.html
"
        ,
Busy HVAC contracting company seeking self-organized, efficient and motivated individual to join our team of Sales Reps / Product Specialists. CHANGE YOUR CAREER: EARN up to $100K, or even more, CLOSING IN-HOME SALES,
,
We are a growing company specializing in residential in-home sales of ductless high efficiency heating and cooling comfort systems. The ductless heating and cooling systems is a growing segment in HVAC industry, sales are on the rise. Learn about our company and these systems (product) at ,
,
We offer:,
- Compensated pre-employment training,
- Commissions/Draw plus compensation for own car use, gas and own phone (company may provide a vehicle),
- Company computer, related equipment, EzPass,
- Pre-qualified confirmed leads (no cold calling),
- Industry best product,
- Stress-free friendly family-like environment,
- Quarterly and annual performance bonus ,
- No caps,
- Growth opportunities into management positions,
,
For more information and apply for position, please go to ,    ",,CHANGE YOUR CAREER: EARN up to $100K+ CLOSING IN-HOME SALES,full-time,2018-12-13 17:31,full-time,https://newyork.craigslist.org/que/egr/d/change-your-career-earn-up-to/6772083976.html
"
        ,
Anthony Johnson Architect LLC is design-oriented firm with a portfolio of quality projects. We work in a collaborative and congenial atmosphere conducive to professional growth. Salaries are competitive and commensurate with each candidate's capabilities and experience.  ,
,
We seek motivated individuals with architectural degrees and 2 to 7 years experience to fill a variety of positions. Please visit our web site at www.ajohnsonarchitect.com,
and send resumes to: anita@Ajohnsonarchitects.com,
    ",,Architects,full-time,2018-12-13 10:32,full-time,https://newyork.craigslist.org/mnh/egr/d/architects/6771675184.html
"
        ,
Gandhi Engineering is seeking to hire a Junior Architect with 2-3 years of field and office experience in school, housing, and other building facade and exterior renovation projects. ,
,
Work includes field investigation, production of design and construction documents in AutoCAD.  Report writing skills, and ability to communicate effectively a must.  Knowledge of MicroStation is a plus.  Competitive salaries and  benefits including medical/dental coverage and 401K Plan.    ",,Junior Architect,full-time,2018-12-14 14:03,full-time,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6772693141.html
"
        ,
Terrence O'Neal Architect LLC and TONA | ACB Architects seek project manager-level individual for design and construction documents for varied projects for local universities, airport work, and K-12 schools. The ideal candidate will have the following qualifications:,
,
1. Accredited Degree in Architecture: B.Arch or M.Arch from a NAAB-accredited school.,
2. 3-10 years' NYC experience minimum,
3. Ability to handle all phases from design through construction documents,
4. Knowledge of Revit a plus (but not required),
,
Please send a cover letter specifying how your qualifications match the requirements of this position,,
along with a resume and project samples. No calls please.    ",,Architect 3-10 Years' Experience,full-time,2018-12-14 11:43,full-time,https://newyork.craigslist.org/mnh/egr/d/architect-3-10-years/6772542574.html
"
        ,
NYC Senior Site Superintendent  200k DOE. ,
,
,
,
Our client a prominent NYC Construction firm is looking for a person who wants to apply their passion and dedication in a collaborative and progressive work environment. Senior Site Superintendents supervise all on-site construction, including scheduling subcontractors, resolving day-to-day problems on the job site, and inspecting all work during construction to ensure compliance with plans and specifications.   ,
What you'll de doing: • Schedule subcontractors, consultants, and vendors in critical path to ensure timely completion • Implement and monitor job site safety practices/protection  • Perform quality control duties and responsibilities regarding the work is being performed  • Communicate with project team regarding RFI's and material submittals  • Ensure that subcontractor is fully executing and complying with his contracted scope of work  • Coordinate required inspections with local jurisdictions  • Order and monitor material with Purchasing assistant • Request and monitor building department inspections  • Identify conflicts in construction progress and communicate them to project team for resolution  • Maintain current construction plans and daily field reports/logs  • Review all shop drawing to ensure that they accurately reflect as-built conditions  • Perform job progress and completion punch list identification and completion • Evaluate, train and directly supervise Joy Construction employees ,
In addition, this candidate must keep up on budget, request information from Project Manager as needed, document all time and material work, schedule and supervise pre-punch list sub meeting, and must coordinate and assist Project Manager's with final certificate of occupancy inspections and obtaining actual certificate occupancy. ,
Requirements: • Minimum of 7 years' as a senior superintendent, experience in scheduling, ordering, field supervision and production of all phases of residential construction  • Preferably proficiency in Pro-core but not required to • Ability to communicate clearly and concisely; both verbally and in writing • Excellent leadership skills • Understanding of all facets of the construction process   • Experience running large multi- unit residential projects in NYC   • NYC DOB Super License required ,
,
Please send your resume to rkatulak@beechwoodsearch.com,
,
-------------------------------------------------------------------------------------------------------------------------------------------,
MEP  Construction Project Managers to 150K  DOE,
,
,
Our client ( a prominent NYC construction firm is seeking a MEP project manager who is fully responsible to successfully manage, execute, complete and handover multiple MEP projects. The term MEP includes HVAC, Plumbing, Drainage and Fire Fighting & Electrical systems. The key responsibilities include commitment to ensure timely completion of project within approved budgets on cost, schedule and oversee performance to ensure on time, quality and on budget project execution.  ,
What you'll de doing: • Scope MEP trades during pre-construction • Work with design team to bring construction drawings from inception to construction documents  • Review contract documents, making suggestions/ modifications as they relate to the MEP trades • Manage and lead MEP subcontractors throughout duration of the project (from groundbreaking through commissioning and turnover to owner)  • Assist scheduling department with developing detailed CPM schedules for all MEP installation activities, including cost and resource loading • Work with superintendent on project logistics  • Monitor the installation and start-up of MEP systems and commissioning of project with engineer& owner  • Communicate progress and prepare appropriate reports as needed  • Lead and direct the MEP coordination process to resolve all conflicts prior to start of installations  • Take overall responsibility for the performance of all MEP trades • Supervise review and coordination of submittals and shop drawings  ,
 ,
Requirements: • Minimum of 15-20 years of experience in Construction/ MEP Coordination • Good understanding of all mechanical, electrical, plumbing and low- voltage systems • General understanding of Building Codes, Mechanical Codes, Electrical codes and Plumbing codes as they relate to construction of project • Excellent leadership skills • Understanding of all facets of the construction process   • Experienced dealing with MEP subcontracts and subcontractors • Have proven track record as a Project Manager on projects with large MEP scopes,
,
,
Please send your resume to   rkatulak@beechwoodsearch.com,
,
,
    ",,Senior Site SuperIntendent  /  Construction Project Manager,full-time,2018-12-14 12:33,full-time,https://newyork.craigslist.org/mnh/egr/d/senior-site-superintendent/6772596632.html
"
        ,
Tectonic is currently seeking qualified Mechanical Engineers with building construction experience to work on projects throughout the NYC metro area.,
,
ESSENTIAL FUNCTIONS,
,
•	Read and interpret blueprints, technical drawings, schematics, or computer-generated reports;,
•	Construction inspection of building mechanical systems, including HVAC, boilers, chillers, cooling towers, pumping system, and other related systems;,
•	Ensure that work is completed in accordance with plans and specifications, and identify and resolve any related issues;,
•	Write regular construction project reports and keep all related documentation on file;,
•	All other duties as assigned.,
,
QUALIFICATIONS,
,
•	BS Degree in Mechanical Engineering; ICC Mechanical Inspector Certification preferred; PE license a plus;,
•	A minimum of 2 years of related mechanical engineering experience; Experience supervising building construction required;,
•	Possess excellent oral and written communication skills and organizational skills;,
•	Diversified knowledge of technology, materials, equipment, design concepts and construction techniques;,
•	Ability to solve complex issues with limited direction;,
•	Ability to travel between project sites throughout the NYC area. ,
,
COMPETITIVE SALARY & BENEFITS PACKAGE,
,
 In addition to providing competitive salaries, Tectonic offers a wide range of benefit options, including:,
,
•	Comprehensive group medical insurance, including health, dental, vision and life,
•	Opportunities for professional growth and advancement,
•	Tuition reimbursement,
•	Paid time off, including vacation, personal, and sick,
•	Company-observed paid holidays,
•	Short and long-term disability coverage,
•	Flexible spending accounts for qualifying medical expenses and dependent care,
•	Commuter benefit plan for qualifying public transportation costs,
•	401K retirement and profit sharing plan.,
,
We are an equal opportunity/affirmative action employer, and highly encourage resumes from all interested parties including women, minorities, veterans and persons with disabilities. All qualified applicants will be afforded equal employment opportunities without discrimination on the basis of race, creed, color, national origin, sex, age, disability, marital status, or any other protected class.,
,
Tectonic participates in the USCIS E-Verify Program to verify that all new hires are authorized to work in the United States.,
,
To review and apply, please visit: ,
,
    ",,Mechanical Field Engineers (Building Construction),full-time,2018-12-13 15:56,full-time,https://newyork.craigslist.org/que/egr/d/mechanical-field-engineers/6772000861.html
"
        ,
Contract to Hire, insurance available during the contract period.,
,
Pay: $22 - $23/hr. based on experience,
,
The position has the full intention of converting to full-time status with the company, and health insurance is available during the contract period. The company is employee-owned, and has the nation's #1 ranked employee stock ownership program.,
,
Requirements:,
,
•	Professional CAD experience using AutoCAD and/or MicroStation ,
•	Associate's or Bachelor's degree in CAD related field preferred, or CAD certificate,
•	6 months - 3 years of professional CAD experience,
•	Strong written and verbal communication skills required,
,
Summary:,
,
This is an exciting opportunity to join the fastest growing division of a reputable Engineering company that is seeking an up and coming CAD professional to join their organization. Someone in this role will be a part of the Electrical Transmission & Distribution group, supporting nationwide substation and transmission line design projects.,
,
Summary:,
,
•	This position is responsible for revising existing drawings and preparing drawings of basic components from explicit verbal or written instructions or detailed sketches,
•	This position successfully plots drawings,
•	Learn and follow company and client drafting standards and procedures,
•	Learns the practices of disciplines within Transmission and Distribution department,
    ",,CAD Drafter (Engineering),contract,2018-12-14 15:39,contract,https://newyork.craigslist.org/jsy/egr/d/cad-drafter-engineering/6772787012.html
